detected,cx_px,cy_px,cx_norm,cy_norm,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,frame,timestamp
False,,,,,,,,,0.0,47,1.5682
True,491.37,64.66,0.824443,0.192433,469.94,29.52,512.8,99.79,0.3714,48,1.6016
False,,,,,,,,,0.0,49,1.635
False,,,,,,,,,0.0,50,1.6683
False,,,,,,,,,0.0,51,1.7017
False,,,,,,,,,0.0,52,1.7351
True,487.21,60.35,0.817472,0.179613,461.94,22.02,512.48,98.68,0.3872,53,1.7684
False,,,,,,,,,0.0,54,1.8018
True,461.74,121.87,0.774732,0.362712,428.11,70.27,495.37,173.47,0.5041,55,1.8352
True,454.24,184.56,0.762141,0.549279,416.69,129.62,491.78,239.5,0.5961,56,1.8685
False,,,,,,,,,0.0,57,1.9019
True,450.49,292.68,0.755852,0.871074,423.86,256.53,477.12,328.83,0.4273,58,1.9353
True,449.85,294.35,0.754777,0.876051,420.67,259.05,479.02,329.66,0.4114,59,1.9686
False,,,,,,,,,0.0,60,2.002
True,452.36,215.95,0.758989,0.642719,421.59,167.58,483.13,264.33,0.2712,61,2.0354
True,463.15,171.68,0.777098,0.510965,433.38,120.77,492.92,222.6,0.3171,62,2.0687
False,,,,,,,,,0.0,63,2.1021
True,424.45,156.04,0.712157,0.464394,410.07,92.55,438.82,219.52,0.2751,64,2.1355
False,,,,,,,,,0.0,65,2.1688
False,,,,,,,,,0.0,66,2.2022
False,,,,,,,,,0.0,67,2.2356
False,,,,,,,,,0.0,68,2.2689
False,,,,,,,,,0.0,69,2.3023
False,,,,,,,,,0.0,70,2.3357
False,,,,,,,,,0.0,71,2.369
False,,,,,,,,,0.0,72,2.4024
False,,,,,,,,,0.0,73,2.4358
False,,,,,,,,,0.0,74,2.4691
False,,,,,,,,,0.0,75,2.5025
True,475.35,115.93,0.79757,0.345023,444.2,68.54,506.51,163.32,0.5807,76,2.5359
True,469.86,186.4,0.788355,0.55477,437.82,141.09,501.9,231.72,0.6252,77,2.5692
True,465.54,230.45,0.781111,0.685868,429.09,186.6,501.99,274.31,0.3161,78,2.6026
True,470.77,258.6,0.789887,0.769645,437.85,206.39,503.7,310.81,0.4866,79,2.636
False,,,,,,,,,0.0,80,2.6693
False,,,,,,,,,0.0,81,2.7027
True,464.56,187.37,0.779464,0.557654,426.76,128.56,502.36,246.18,0.6813,82,2.7361
True,463.22,139.61,0.77722,0.415498,430.79,90.37,495.66,188.85,0.5886,83,2.7694
True,467.72,109.65,0.784769,0.326349,431.43,50.22,504.01,169.08,0.4895,84,2.8028
True,453.04,52.75,0.76014,0.156992,399.14,11.8,506.95,93.69,0.3659,85,2.8362
False,,,,,,,,,0.0,86,2.8695
False,,,,,,,,,0.0,87,2.9029
False,,,,,,,,,0.0,88,2.9363
True,506.78,54.97,0.850299,0.163609,454.48,9.56,559.08,100.38,0.6478,89,2.9696
True,461.87,88.3,0.774954,0.262807,417.9,39.19,505.84,137.42,0.4855,90,3.003
True,485.56,130.51,0.814702,0.388416,438.66,73.08,532.47,187.93,0.7473,91,3.0364
True,501.79,164.41,0.841926,0.489306,471.89,130.41,531.69,198.4,0.5975,92,3.0697
True,386.69,224.5,0.648806,0.668157,346.76,181.95,426.62,267.05,0.656,93,3.1031
True,518.42,155.51,0.869827,0.462842,460.32,102.73,576.52,208.3,0.6462,94,3.1365
True,508.1,147.77,0.852509,0.439798,451.27,97.37,564.92,198.17,0.7099,95,3.1698
True,483.65,159.94,0.811499,0.476019,437.22,111.38,530.08,208.5,0.7648,96,3.2032
True,494.44,179.65,0.829606,0.53468,462.14,145.41,526.75,213.89,0.4101,97,3.2366
True,507.29,167.99,0.851157,0.499957,466.44,122.55,548.14,213.42,0.5462,98,3.2699
True,515.53,150.15,0.864987,0.446875,458.1,99.02,572.96,201.28,0.6627,99,3.3033
True,518.14,152.54,0.869362,0.453983,462.48,101.13,573.8,203.94,0.7913,100,3.3367
True,494.22,160.2,0.829229,0.476797,445.5,112.44,542.94,207.97,0.6415,101,3.37
True,491.3,160.95,0.824329,0.479008,455.8,121.45,526.8,200.44,0.6266,102,3.4034
False,,,,,,,,,0.0,103,3.4368
True,539.64,155.6,0.905431,0.46311,505.78,115.02,573.49,196.19,0.6005,104,3.4701
True,523.88,147.82,0.878997,0.439949,470.59,95.98,577.18,199.66,0.464,105,3.5035
True,507.02,147.59,0.850703,0.43927,467.96,105.8,546.08,189.39,0.3855,106,3.5369
True,494.63,153.77,0.829918,0.457638,462.97,112.45,526.29,195.08,0.6618,107,3.5702
True,498.3,123.01,0.836072,0.366097,463.22,69.87,533.38,176.15,0.2986,108,3.6036
True,518.93,112.55,0.870692,0.334956,483.91,71.02,553.96,154.07,0.6292,109,3.637
True,532.98,105.95,0.894262,0.315333,506.0,73.01,559.96,138.89,0.3823,110,3.6703
True,505.98,103.64,0.848965,0.308467,470.72,63.87,541.25,143.42,0.728,111,3.7037
True,482.02,131.55,0.808756,0.391512,452.42,68.6,511.61,194.49,0.5303,112,3.7371
True,379.74,192.65,0.637144,0.573365,336.71,140.57,422.76,244.73,0.693,113,3.7704
True,381.5,193.79,0.640093,0.576748,331.79,142.04,431.2,245.53,0.6857,114,3.8038
True,380.64,194.88,0.638651,0.579993,334.9,144.19,426.37,245.56,0.7722,115,3.8372
True,381.09,194.27,0.639409,0.578195,338.18,146.93,423.99,241.62,0.7339,116,3.8705
True,380.62,206.44,0.638621,0.614411,333.39,145.52,427.84,267.37,0.6979,117,3.9039
True,379.87,195.64,0.637372,0.582274,335.84,139.09,423.9,252.2,0.5877,118,3.9373
False,,,,,,,,,0.0,119,3.9706
False,,,,,,,,,0.0,120,4.004
False,,,,,,,,,0.0,121,4.0374
False,,,,,,,,,0.0,122,4.0707
False,,,,,,,,,0.0,123,4.1041
False,,,,,,,,,0.0,124,4.1375
False,,,,,,,,,0.0,125,4.1708
False,,,,,,,,,0.0,126,4.2042
False,,,,,,,,,0.0,127,4.2376
True,500.19,113.05,0.839253,0.336445,472.78,66.33,527.61,159.77,0.389,128,4.2709
True,474.11,163.6,0.79549,0.486898,428.1,111.06,520.13,216.13,0.3472,129,4.3043
True,458.61,204.45,0.769474,0.608492,414.66,147.65,502.55,261.25,0.3062,130,4.3377
False,,,,,,,,,0.0,131,4.371
True,465.47,311.87,0.780993,0.928182,440.95,292.39,489.99,331.35,0.3464,132,4.4044
True,426.15,281.26,0.715024,0.837082,412.77,261.22,439.54,301.3,0.2688,133,4.4378
False,,,,,,,,,0.0,134,4.4711
False,,,,,,,,,0.0,135,4.5045
True,434.9,290.16,0.729703,0.863558,415.3,265.13,454.51,315.18,0.336,136,4.5379
False,,,,,,,,,0.0,137,4.5712
True,439.46,249.47,0.737344,0.742468,415.28,215.32,463.63,283.62,0.3323,138,4.6046
False,,,,,,,,,0.0,139,4.638
