detected,cx_px,cy_px,cx_norm,cy_norm,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,frame,timestamp
True,1026.09,486.76,0.534422,0.4507,954.35,328.19,1097.83,645.32,0.7635,64,2.56
True,1026.69,486.12,0.534736,0.450109,954.59,328.3,1098.8,643.93,0.778,65,2.6
True,1027.44,485.33,0.535124,0.449381,954.6,327.82,1100.27,642.84,0.7806,66,2.64
True,1027.61,484.78,0.535215,0.448872,954.25,327.92,1100.98,641.64,0.777,67,2.68
True,1027.45,484.49,0.535129,0.448602,954.72,328.82,1100.17,640.16,0.7749,68,2.72
True,1027.99,484.35,0.535411,0.44847,954.6,329.02,1101.38,639.67,0.7698,69,2.76
True,1029.24,484.59,0.536065,0.448691,954.33,330.43,1104.16,638.74,0.7605,70,2.8
True,1029.18,485.3,0.536029,0.449352,954.55,330.09,1103.8,640.51,0.76,71,2.84
True,1029.58,485.51,0.536241,0.449544,955.17,330.31,1104.0,640.7,0.7578,72,2.88
True,1029.15,485.69,0.536014,0.449714,955.09,328.75,1103.21,642.63,0.7443,73,2.92
True,1029.77,485.85,0.53634,0.44986,955.15,329.37,1104.4,642.33,0.7395,74,2.96
True,1030.86,485.01,0.536908,0.449088,954.92,327.13,1106.8,642.9,0.7329,75,3.0
True,1031.58,481.81,0.537281,0.446121,954.26,320.95,1108.9,642.67,0.7311,76,3.04
True,1031.58,478.68,0.537281,0.443222,954.41,317.21,1108.74,640.15,0.6929,77,3.08
True,1031.98,477.99,0.537491,0.442584,953.36,314.28,1110.61,641.7,0.7082,78,3.12
True,1032.28,478.28,0.537646,0.442855,953.69,314.11,1110.88,642.46,0.7051,79,3.16
True,1030.98,479.71,0.53697,0.444175,953.08,312.67,1108.89,646.75,0.6811,80,3.2
True,1030.8,478.88,0.536877,0.44341,953.14,311.07,1108.47,646.69,0.6883,81,3.24
True,1031.91,477.38,0.537455,0.442021,953.32,310.6,1110.51,644.16,0.7107,82,3.28
True,1029.56,479.43,0.536228,0.44392,952.62,310.33,1106.49,648.54,0.6753,83,3.32
True,1031.02,478.26,0.536991,0.442838,952.81,311.01,1109.23,645.52,0.7098,84,3.36
True,1030.17,478.45,0.536544,0.443005,953.22,312.98,1107.11,643.91,0.6818,85,3.4
True,1030.37,480.4,0.536649,0.444818,953.54,317.88,1107.2,642.93,0.6573,86,3.44
True,1031.04,482.15,0.537,0.446437,954.22,318.42,1107.86,645.89,0.5477,87,3.48
True,1031.88,481.35,0.537439,0.445691,954.64,315.99,1109.12,646.7,0.5592,88,3.52
True,1032.49,484.04,0.537755,0.448187,954.36,323.03,1110.62,645.06,0.5783,89,3.56
True,1035.95,482.21,0.539556,0.446488,957.81,331.33,1114.08,633.08,0.5447,90,3.6
True,1036.86,482.55,0.540031,0.446807,954.94,319.38,1118.78,645.72,0.619,91,3.64
True,1034.44,487.71,0.538769,0.451583,955.83,328.28,1113.05,647.13,0.6816,92,3.68
True,1034.16,483.04,0.538624,0.447262,956.06,325.62,1112.25,640.47,0.7517,93,3.72
True,1028.46,487.19,0.535658,0.451105,955.31,325.63,1101.62,648.76,0.7222,94,3.76
True,1028.18,489.99,0.535512,0.453698,953.14,326.67,1103.23,653.31,0.6981,95,3.8
True,1027.16,487.98,0.534977,0.451836,953.13,325.59,1101.18,650.37,0.6585,96,3.84
True,1027.87,484.97,0.53535,0.44905,953.23,324.07,1102.52,645.88,0.6353,97,3.88
True,1026.92,483.74,0.534852,0.44791,953.88,323.86,1099.95,643.63,0.5871,98,3.92
True,1026.81,483.61,0.534798,0.44779,953.77,323.74,1099.85,643.49,0.5867,99,3.96
True,1026.96,481.44,0.534875,0.44578,953.98,323.43,1099.94,639.46,0.5808,100,4.0
True,1026.49,480.48,0.534631,0.44489,953.7,323.61,1099.28,637.36,0.5811,101,4.04
True,1026.44,480.67,0.534604,0.445061,953.38,322.8,1099.49,638.53,0.5808,102,4.08
True,1026.62,481.13,0.534699,0.445487,953.14,322.83,1100.1,639.42,0.584,103,4.12
True,1026.57,481.55,0.534672,0.44588,953.26,322.85,1099.88,640.25,0.5854,104,4.16
True,1026.28,480.64,0.534519,0.445041,953.21,322.36,1099.34,638.93,0.5718,105,4.2
True,1026.64,481.43,0.534706,0.445771,953.25,322.0,1100.03,640.86,0.5744,106,4.24
True,1026.72,481.52,0.534749,0.445852,953.25,321.69,1100.18,641.35,0.5746,107,4.28
True,1026.65,481.0,0.534715,0.445373,953.26,321.97,1100.04,640.03,0.5746,108,4.32
True,1026.32,480.14,0.534544,0.444575,953.34,322.45,1099.3,637.84,0.5688,109,4.36
True,1026.86,482.17,0.534821,0.446451,953.2,321.65,1100.51,642.69,0.5804,110,4.4
True,1027.03,482.64,0.53491,0.446893,953.22,321.22,1100.83,644.07,0.5897,111,4.44
True,1026.42,480.21,0.534592,0.44464,953.47,321.92,1099.37,638.5,0.568,112,4.48
True,1026.56,478.87,0.534664,0.443398,954.24,322.33,1098.87,635.41,0.5496,113,4.52
True,1026.95,482.62,0.534872,0.446866,953.31,321.05,1100.6,644.18,0.5893,114,4.56
True,1026.27,482.81,0.534515,0.447049,953.28,321.77,1099.26,643.86,0.5903,115,4.6
True,1027.36,484.23,0.535082,0.448359,952.97,320.95,1101.74,647.5,0.6022,116,4.64
True,1026.57,484.09,0.534674,0.44823,953.05,321.29,1100.1,646.89,0.5988,117,4.68
True,1026.68,484.61,0.534729,0.448712,953.53,321.55,1099.83,647.66,0.597,118,4.72
True,1026.68,483.9,0.53473,0.448054,953.68,321.92,1099.68,645.88,0.5958,119,4.76
True,1026.59,484.54,0.534682,0.448645,953.88,322.86,1099.3,646.21,0.6092,120,4.8
True,1026.76,485.65,0.534772,0.449673,953.64,321.59,1099.89,649.7,0.6123,121,4.84
True,1026.86,484.92,0.53482,0.449002,953.95,321.79,1099.76,648.05,0.6095,122,4.88
True,1026.48,484.48,0.534626,0.448596,954.02,323.31,1098.94,645.66,0.6073,123,4.92
True,1026.1,483.62,0.534426,0.447799,954.27,323.14,1097.93,644.11,0.5918,124,4.96
True,1026.02,483.81,0.534387,0.447977,954.46,323.81,1097.59,643.82,0.5885,125,5.0
True,1026.1,483.83,0.534428,0.447989,954.68,324.6,1097.52,643.06,0.5993,126,5.04
True,1026.77,487.48,0.534774,0.451367,953.86,323.62,1099.68,651.34,0.6511,127,5.08
True,1027.93,489.91,0.535382,0.453619,953.64,323.42,1102.22,656.39,0.6808,128,5.12
True,1027.79,489.6,0.535307,0.453336,953.67,323.7,1101.91,655.5,0.69,129,5.16
True,1027.52,489.71,0.535166,0.453439,953.85,324.28,1101.19,655.15,0.6871,130,5.2
True,1027.61,490.64,0.535212,0.4543,953.84,323.94,1101.38,657.34,0.6917,131,5.24
True,1027.34,491.16,0.535073,0.454774,953.95,324.48,1100.73,657.84,0.6935,132,5.28
True,1027.09,491.12,0.534943,0.454742,953.79,325.01,1100.39,657.23,0.6905,133,5.32
True,1026.6,492.16,0.534687,0.455702,953.61,325.6,1099.59,658.71,0.6934,134,5.36
True,1026.36,493.02,0.534561,0.456495,953.25,326.0,1099.46,660.03,0.7131,135,5.4
True,1026.62,493.29,0.5347,0.456746,953.23,325.84,1100.02,660.73,0.7211,136,5.44
True,1026.76,494.05,0.534768,0.457457,953.1,326.53,1100.41,661.57,0.7291,137,5.48
True,1025.78,493.6,0.534263,0.457037,953.33,326.66,1098.24,660.54,0.7159,138,5.52
True,1024.73,492.71,0.533713,0.456217,953.7,326.75,1095.76,658.68,0.6904,139,5.56
True,1024.8,493.06,0.53375,0.456537,953.22,327.09,1096.37,659.03,0.6993,140,5.6
True,1025.92,492.4,0.534334,0.455926,952.95,327.41,1098.89,657.39,0.7004,141,5.64
True,1025.63,493.31,0.534182,0.456768,952.9,327.69,1098.36,658.93,0.7101,142,5.68
True,1025.06,493.23,0.533886,0.456691,952.83,327.99,1097.29,658.46,0.7133,143,5.72
True,1024.62,493.69,0.533656,0.457117,952.78,327.7,1096.46,659.68,0.7166,144,5.76
True,1025.49,492.02,0.53411,0.455579,952.55,327.5,1098.43,656.55,0.722,145,5.8
True,1025.8,491.49,0.534269,0.455088,952.56,326.78,1099.03,656.21,0.7159,146,5.84
True,1025.57,490.94,0.53415,0.454573,952.57,326.25,1098.56,655.63,0.7086,147,5.88
True,1026.54,488.27,0.534658,0.452103,955.19,321.43,1097.9,655.12,0.7138,148,5.92
True,1026.88,487.93,0.534835,0.451783,954.77,322.71,1099.0,653.14,0.7436,149,5.96
