detected,cx_px,cy_px,cx_norm,cy_norm,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,frame,timestamp
True,444.45,278.5,0.494933,0.550401,212.65,162.21,676.25,394.8,0.2771,171,5.7057
True,433.39,284.82,0.482615,0.56289,188.66,173.38,678.12,396.26,0.2707,172,5.7391
True,366.41,102.01,0.408031,0.201595,348.43,86.0,384.4,118.01,0.4203,173,5.7724
True,409.55,281.0,0.456073,0.555346,139.0,162.7,680.11,399.31,0.386,176,5.8725
True,430.82,281.63,0.479753,0.556585,137.25,161.49,724.38,401.78,0.4384,177,5.9059
True,407.48,282.67,0.453761,0.558642,132.79,166.7,682.16,398.64,0.4042,178,5.9393
True,407.7,282.73,0.454007,0.558764,133.15,166.73,682.24,398.74,0.4082,179,5.9726
True,404.64,282.92,0.4506,0.559137,125.82,165.07,683.46,400.78,0.4391,180,6.006
True,425.77,281.71,0.474132,0.556732,170.75,166.69,680.79,396.73,0.3491,181,6.0394
True,418.99,282.78,0.466587,0.558862,157.85,169.38,680.14,396.19,0.3064,182,6.0727
True,437.46,285.15,0.487152,0.56353,193.87,175.21,681.06,395.08,0.2825,184,6.1395
True,398.55,287.06,0.443816,0.567304,116.04,176.86,681.05,397.25,0.2544,185,6.1728
