detected,cx_px,cy_px,cx_norm,cy_norm,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,frame,timestamp,tip_x,tip_y
True,891.33,623.91,0.464234,0.577694,781.79,413.36,1000.87,834.45,0.6489,60,2.4,891,413
True,717.23,638.08,0.373555,0.590818,406.27,423.19,1028.18,852.97,0.6317,61,2.44,717,423
True,833.97,607.48,0.434361,0.562481,650.21,391.43,1017.73,823.53,0.7061,62,2.48,833,391
True,838.3,607.57,0.436616,0.562564,639.1,378.54,1037.5,836.6,0.6908,63,2.52,838,378
True,840.09,639.6,0.437547,0.592219,643.95,421.62,1036.23,857.58,0.6543,64,2.56,840,421
True,846.97,634.39,0.44113,0.587401,650.4,429.72,1043.54,839.07,0.7481,65,2.6,846,429
True,846.96,634.28,0.441127,0.587296,643.58,421.05,1050.35,847.51,0.7553,66,2.64,846,421
True,929.46,632.2,0.484093,0.585373,829.36,429.19,1029.55,835.22,0.4998,67,2.68,929,429
True,844.77,663.57,0.439987,0.614416,640.66,444.14,1048.89,883.0,0.8548,68,2.72,844,444
True,862.24,647.3,0.449081,0.599353,676.64,442.64,1047.83,851.96,0.4721,69,2.76,862,442
True,858.26,630.82,0.447011,0.584097,667.22,409.12,1049.3,852.53,0.7288,70,2.8,858,409
True,845.53,658.17,0.440378,0.609419,649.96,442.28,1041.09,874.06,0.6976,71,2.84,845,442
True,838.27,642.86,0.4366,0.595243,652.25,426.84,1024.29,858.88,0.6465,72,2.88,838,426
True,831.98,652.23,0.433321,0.603919,631.95,440.05,1032.0,864.41,0.728,73,2.92,831,440
True,812.37,658.04,0.42311,0.609298,601.62,442.76,1023.12,873.32,0.7308,74,2.96,812,442
True,799.52,652.51,0.416418,0.604179,588.08,429.72,1010.96,875.31,0.895,75,3.0,799,429
True,799.97,656.14,0.41665,0.607534,596.03,432.69,1003.9,879.58,0.8004,76,3.04,799,432
True,856.07,643.86,0.445869,0.596166,739.66,429.28,972.47,858.44,0.5996,77,3.08,856,429
True,868.49,653.15,0.452341,0.604768,762.34,436.99,974.65,869.31,0.6436,78,3.12,868,436
True,857.83,656.92,0.446786,0.608261,746.44,439.18,969.22,874.66,0.6838,79,3.16,857,439
True,854.85,658.17,0.445236,0.609413,740.19,439.9,969.52,876.43,0.701,80,3.2,854,439
True,846.22,659.2,0.440742,0.610371,743.09,444.12,949.36,874.28,0.7625,81,3.24,846,444
True,842.48,657.93,0.43879,0.609193,740.59,440.56,944.36,875.29,0.7361,82,3.28,842,440
True,840.74,656.15,0.437888,0.607544,739.38,437.3,942.11,875.0,0.7383,83,3.32,840,437
True,842.28,664.41,0.438689,0.615191,744.14,452.92,940.43,875.89,0.7293,84,3.36,842,452
True,840.46,665.5,0.43774,0.616204,742.43,453.71,938.49,877.29,0.7348,85,3.4,840,453
True,842.37,663.7,0.438732,0.614538,744.29,452.58,940.44,874.83,0.7696,86,3.44,842,452
True,847.04,647.37,0.441166,0.599416,746.03,439.45,948.05,855.29,0.6519,87,3.48,847,439
True,852.45,656.26,0.443986,0.607652,746.72,440.17,958.19,872.36,0.7576,88,3.52,852,440
True,858.86,656.95,0.447325,0.608286,752.44,440.3,965.29,873.6,0.7143,89,3.56,858,440
True,861.22,662.99,0.448552,0.61388,757.67,450.6,964.77,875.38,0.7096,90,3.6,861,450
True,866.33,660.88,0.451213,0.611926,765.94,446.33,966.72,875.43,0.7531,91,3.64,866,446
True,872.62,665.85,0.454492,0.616527,769.59,454.55,975.66,877.15,0.6848,92,3.68,872,454
True,876.63,664.82,0.456578,0.615578,770.97,448.81,982.3,880.83,0.6611,93,3.72,876,448
True,801.5,667.57,0.417446,0.618119,603.06,444.02,999.93,891.12,0.6509,94,3.76,801,444
True,875.92,661.0,0.456206,0.612033,766.01,441.6,985.82,880.39,0.6559,95,3.8,875,441
True,805.07,672.87,0.419308,0.623029,609.97,456.34,1000.17,889.4,0.7192,96,3.84,805,456
True,808.44,670.31,0.421061,0.620659,616.04,445.5,1000.83,895.12,0.7343,97,3.88,808,445
True,885.17,667.17,0.461027,0.617746,788.41,452.95,981.93,881.38,0.6299,98,3.92,885,452
True,816.47,676.1,0.425245,0.626023,624.53,455.55,1008.41,896.66,0.7339,99,3.96,816,455
True,892.97,666.83,0.465088,0.617431,790.63,447.28,995.31,886.37,0.621,100,4.0,892,447
True,891.13,662.86,0.464129,0.613757,783.34,440.76,998.91,884.96,0.6978,101,4.04,891,440
True,890.43,688.33,0.463768,0.637342,789.7,482.31,991.16,894.35,0.6995,102,4.08,890,482
True,897.19,685.83,0.467286,0.635026,792.65,475.57,1001.73,896.09,0.7071,103,4.12,897,475
True,829.85,691.95,0.432211,0.640697,648.87,476.63,1010.82,907.28,0.8212,104,4.16,829,476
True,899.76,666.1,0.468624,0.616756,793.95,451.51,1005.57,880.68,0.3693,105,4.2,899,451
True,850.38,685.75,0.442906,0.634955,691.85,488.22,1008.9,883.29,0.5088,106,4.24,850,488
True,862.18,681.17,0.44905,0.630717,727.38,489.5,996.97,872.85,0.5927,107,4.28,862,489
True,913.13,694.59,0.475591,0.643142,813.65,481.35,1012.62,907.83,0.4752,108,4.32,913,481
True,847.39,697.66,0.441351,0.645983,661.2,482.56,1033.59,912.76,0.5872,109,4.36,847,482
True,918.8,686.55,0.478541,0.635695,817.86,470.72,1019.74,902.38,0.6302,110,4.4,918,470
True,919.36,683.16,0.478833,0.632558,811.22,461.96,1027.5,904.37,0.5921,111,4.44,919,461
True,924.2,676.11,0.481353,0.626024,824.38,449.5,1024.02,902.71,0.5319,112,4.48,924,449
True,926.35,695.72,0.482474,0.644183,824.91,483.92,1027.79,907.52,0.5154,113,4.52,926,483
True,915.64,692.39,0.476894,0.641103,809.62,488.33,1021.65,896.46,0.6166,114,4.56,915,488
True,850.71,688.66,0.443079,0.637645,655.36,470.16,1046.06,907.15,0.552,115,4.6,850,470
True,914.83,682.17,0.476472,0.63164,808.66,470.32,1020.99,894.03,0.613,116,4.64,914,470
True,845.88,691.72,0.440563,0.640484,661.81,481.33,1029.95,902.12,0.5031,117,4.68,845,481
True,911.22,677.78,0.474596,0.62757,811.46,457.16,1010.99,898.39,0.4851,118,4.72,911,457
True,844.11,685.44,0.439643,0.634669,654.23,464.92,1034.0,905.96,0.6092,119,4.76,844,464
True,909.53,681.11,0.473711,0.630661,805.35,462.16,1013.71,900.07,0.5426,120,4.8,909,462
True,895.36,669.51,0.466334,0.619914,786.76,439.56,1003.96,899.46,0.5884,121,4.84,895,439
True,825.0,687.09,0.429689,0.636191,626.2,467.65,1023.81,906.53,0.5776,122,4.88,825,467
True,891.02,680.75,0.464073,0.630326,788.24,458.28,993.8,903.22,0.6728,123,4.92,891,458
True,890.06,686.27,0.463575,0.635438,787.59,468.48,992.54,904.07,0.6743,124,4.96,890,468
True,806.25,681.3,0.419923,0.630832,606.28,448.06,1006.22,914.54,0.6217,125,5.0,806,448
True,884.93,692.36,0.4609,0.641071,790.41,474.29,979.45,910.42,0.6539,126,5.04,884,474
True,882.96,688.44,0.459875,0.637448,784.24,469.57,981.68,907.32,0.6325,127,5.08,882,469
True,876.9,673.82,0.456719,0.623907,769.61,437.38,984.19,910.25,0.6186,128,5.12,876,437
