detected,cx_px,cy_px,cx_norm,cy_norm,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,frame,timestamp,tip_x,tip_y
True,373.22,128.68,0.630443,0.382964,315.27,82.18,431.17,175.17,0.9055,56,1.8685,373.0,82.0
True,371.67,129.06,0.627826,0.38412,313.79,82.91,429.55,175.22,0.9115,57,1.9019,371.0,82.0
True,367.79,128.95,0.62126,0.383769,308.71,82.93,426.86,174.96,0.9081,58,1.9353,367.0,82.0
True,363.65,128.95,0.614281,0.383767,305.27,83.14,422.04,174.75,0.8997,59,1.9686,363.0,83.0
True,359.17,130.76,0.60671,0.389156,303.12,84.54,415.22,176.98,0.8862,60,2.002,359.0,84.0
True,355.1,131.18,0.599831,0.390422,296.98,85.5,413.22,176.86,0.8829,61,2.0354,355.0,85.0
True,350.64,129.28,0.592294,0.384762,292.6,83.87,408.67,174.69,0.9049,62,2.0687,350.0,83.0
True,344.87,128.75,0.582549,0.383187,288.46,83.2,401.28,174.3,0.8989,63,2.1021,344.0,83.0
True,342.83,128.26,0.579102,0.381712,286.72,83.07,398.93,173.44,0.8987,64,2.1355,342.0,83.0
True,339.78,128.15,0.573946,0.381392,286.14,83.25,393.41,173.04,0.8815,65,2.1688,339.0,83.0
True,332.82,127.26,0.562195,0.378747,277.92,81.9,387.72,172.61,0.8701,66,2.2022,332.0,81.0
True,328.03,129.48,0.554102,0.385348,272.14,85.05,383.92,173.91,0.881,67,2.2356,328.0,85.0
True,322.73,127.66,0.54516,0.379944,265.07,82.75,380.4,172.58,0.8892,68,2.2689,322.0,82.0
True,313.64,127.61,0.529799,0.379804,254.59,83.28,372.69,171.95,0.8865,69,2.3023,313.0,83.0
True,311.38,128.02,0.525981,0.380997,254.69,83.62,368.08,172.41,0.8903,70,2.3357,311.0,83.0
True,305.61,128.08,0.516235,0.381178,248.92,83.79,362.3,172.36,0.8884,71,2.369,305.0,83.0
True,298.51,127.8,0.504238,0.380353,241.86,83.45,355.16,172.14,0.8819,72,2.4024,298.0,83.0
True,291.73,128.2,0.492792,0.381559,232.02,83.43,351.45,172.97,0.8908,73,2.4358,291.0,83.0
True,284.15,129.83,0.479977,0.386401,226.84,86.03,341.46,173.64,0.8689,74,2.4691,284.0,86.0
True,276.44,127.28,0.466956,0.378815,216.63,82.78,336.25,171.78,0.8853,75,2.5025,276.0,82.0
True,266.57,126.53,0.450283,0.376581,206.35,82.03,326.79,171.03,0.9002,76,2.5359,266.0,82.0
True,263.27,126.81,0.444708,0.377409,202.3,82.57,324.23,171.05,0.9114,77,2.5692,263.0,82.0
True,257.97,126.77,0.435759,0.377297,198.8,82.65,317.14,170.89,0.9104,78,2.6026,257.0,82.0
True,254.47,128.39,0.429847,0.382113,197.61,85.63,311.33,171.15,0.8678,79,2.636,254.0,85.0
True,246.7,126.31,0.41673,0.375915,189.34,82.1,304.07,170.51,0.8576,80,2.6693,246.0,82.0
True,238.47,127.47,0.402823,0.379374,178.83,83.87,298.11,171.07,0.8655,81,2.7027,238.0,83.0
True,234.89,126.91,0.396766,0.377695,175.24,83.04,294.53,170.77,0.8627,82,2.7361,234.0,83.0
True,229.1,125.12,0.386995,0.372384,169.25,79.79,288.95,170.45,0.8964,83,2.7694,229.0,79.0
True,223.93,124.95,0.378253,0.371886,164.18,79.55,283.67,170.36,0.8857,84,2.8028,223.0,79.0
True,221.0,125.06,0.373313,0.372209,160.78,80.04,281.22,170.08,0.8662,85,2.8362,221.0,80.0
True,211.97,124.69,0.358059,0.371111,149.5,79.65,274.44,169.73,0.8758,86,2.8695,211.0,79.0
True,207.08,125.66,0.349803,0.373975,146.34,81.14,267.82,170.17,0.8691,87,2.9029,207.0,81.0
True,199.86,124.72,0.337602,0.3712,140.84,79.69,258.88,169.76,0.9048,88,2.9363,199.0,79.0
True,196.48,123.77,0.331885,0.36837,140.07,78.56,252.88,168.98,0.8879,89,2.9696,196.0,78.0
True,193.39,121.82,0.326672,0.362573,136.35,76.07,250.43,167.58,0.8926,90,3.003,193.0,76.0
True,184.47,121.81,0.311604,0.36253,128.56,76.02,240.38,167.6,0.8971,91,3.0364,184.0,76.0
True,181.21,119.38,0.306097,0.355293,122.62,73.06,239.8,165.7,0.8953,92,3.0697,181.0,73.0
True,176.53,119.27,0.298199,0.354973,119.28,73.5,233.79,165.04,0.9189,93,3.1031,176.0,73.0
True,172.32,118.89,0.291077,0.353836,114.97,73.13,229.67,164.64,0.9216,94,3.1365,172.0,73.0
True,166.97,118.36,0.282047,0.35226,110.33,72.03,223.61,164.68,0.9235,95,3.1698,166.0,72.0
True,162.75,117.92,0.274916,0.350952,107.89,71.64,217.61,164.2,0.9262,96,3.2032,162.0,71.0
True,159.87,117.73,0.270043,0.350384,104.6,71.74,215.13,163.71,0.9244,97,3.2366,159.0,71.0
True,154.01,117.45,0.260154,0.349557,99.29,71.03,208.74,163.87,0.9245,98,3.2699,154.0,71.0
True,149.93,117.32,0.253264,0.349172,95.03,71.26,204.84,163.39,0.933,99,3.3033,149.0,71.0
True,143.73,116.64,0.242788,0.347153,87.24,70.96,200.22,162.33,0.9155,100,3.3367,143.0,70.0
True,136.7,116.69,0.230912,0.347297,79.4,69.92,194.0,163.46,0.9213,101,3.37,136.0,69.0
True,131.59,116.67,0.222281,0.347226,73.89,70.47,189.29,162.86,0.9341,102,3.4034,131.0,70.0
True,125.21,116.56,0.211507,0.346899,66.25,69.98,184.18,163.14,0.9209,103,3.4368,125.0,69.0
True,116.09,115.92,0.196101,0.345008,55.07,69.26,177.11,162.59,0.931,104,3.4701,116.0,69.0
True,114.21,115.82,0.192928,0.344709,58.08,69.54,170.34,162.1,0.9131,105,3.5035,114.0,69.0
True,110.91,114.89,0.187348,0.341932,54.6,69.12,167.22,160.66,0.9073,106,3.5369,110.0,69.0
True,104.67,114.18,0.176812,0.339833,46.98,67.62,162.36,160.74,0.896,107,3.5702,104.0,67.0
True,100.59,111.45,0.169922,0.331691,42.73,64.66,158.45,158.23,0.8984,108,3.6036,100.0,64.0
True,93.17,109.39,0.15738,0.325553,34.8,62.2,151.54,156.58,0.8586,109,3.637,93.0,62.0
True,94.27,110.13,0.159248,0.327767,38.04,61.91,150.51,158.35,0.8949,110,3.6703,94.0,61.0
True,94.35,108.59,0.159375,0.323173,38.74,60.4,149.96,156.77,0.9029,111,3.7037,94.0,60.0
True,92.69,107.07,0.156571,0.318657,37.85,59.61,147.53,154.52,0.9003,112,3.7371,92.0,59.0
True,92.76,105.63,0.156694,0.314361,38.47,58.92,147.06,152.33,0.8924,113,3.7704,92.0,58.0
True,92.14,102.27,0.155639,0.304367,35.79,55.97,148.48,148.57,0.8902,114,3.8038,92.0,55.0
True,92.17,101.15,0.155691,0.301029,35.43,54.95,148.9,147.34,0.9014,115,3.8372,92.0,54.0
True,93.62,101.51,0.158149,0.302098,38.42,55.59,148.83,147.42,0.8862,116,3.8705,93.0,55.0
True,95.17,100.83,0.160753,0.30008,41.41,55.35,148.92,146.3,0.8808,117,3.9039,95.0,55.0
True,93.21,99.83,0.157448,0.297123,37.84,53.88,148.58,145.78,0.8741,118,3.9373,93.0,53.0
True,94.61,98.4,0.159814,0.292852,38.03,52.65,151.19,144.15,0.8044,119,3.9706,94.0,52.0
True,82.33,96.96,0.139064,0.288565,11.22,49.0,153.43,144.92,0.8167,120,4.004,82.0,49.0
True,90.28,96.84,0.152501,0.288208,30.03,49.82,150.53,143.85,0.8451,121,4.0374,90.0,49.0
True,95.26,96.5,0.160904,0.287204,36.32,48.4,154.19,144.6,0.8684,122,4.0707,95.0,48.0
True,98.75,94.62,0.166804,0.281604,41.44,47.81,156.05,141.43,0.8333,123,4.1041,98.0,47.0
True,101.95,95.23,0.172212,0.283417,44.54,45.25,159.36,145.2,0.8811,124,4.1375,101.0,45.0
True,103.89,96.55,0.175489,0.287366,47.01,44.66,160.77,148.45,0.868,125,4.1708,103.0,44.0
True,105.48,96.44,0.178177,0.287015,47.22,41.98,163.74,150.89,0.8611,126,4.2042,105.0,41.0
True,108.24,96.52,0.182845,0.287253,48.09,40.52,168.4,152.51,0.84,127,4.2376,108.0,40.0
True,109.15,96.54,0.184378,0.287327,49.95,42.41,168.35,150.67,0.8615,128,4.2709,109.0,42.0
True,107.59,96.13,0.181747,0.286087,49.95,41.3,165.24,150.95,0.8615,129,4.3043,107.0,41.0
True,109.98,97.3,0.185785,0.28959,52.48,40.46,167.49,154.14,0.8667,130,4.3377,109.0,40.0
True,110.08,97.23,0.18595,0.289375,53.22,40.65,166.95,153.81,0.8808,131,4.371,110.0,40.0
True,112.68,97.09,0.190342,0.288969,55.79,41.76,169.58,152.42,0.8875,132,4.4044,112.0,41.0
True,114.05,98.19,0.192656,0.292238,54.49,41.86,173.62,154.52,0.8912,133,4.4378,114.0,41.0
True,117.33,98.41,0.198184,0.292885,60.78,42.11,173.87,154.71,0.8888,134,4.4711,117.0,42.0
True,119.32,98.85,0.201548,0.294196,63.93,43.6,174.7,154.1,0.8852,135,4.5045,119.0,43.0
True,118.18,98.82,0.199626,0.294099,60.63,42.57,175.73,155.07,0.885,136,4.5379,118.0,42.0
True,121.92,99.08,0.20595,0.294892,68.64,43.46,175.2,154.71,0.8858,137,4.5712,121.0,43.0
True,124.02,99.22,0.209498,0.295309,72.65,43.39,175.4,155.05,0.8748,138,4.6046,124.0,43.0
True,120.45,99.21,0.203455,0.295267,64.63,43.88,176.26,154.54,0.8749,139,4.638,120.0,43.0
True,123.4,96.97,0.208449,0.288588,73.04,45.19,173.77,148.74,0.8856,140,4.6713,123.0,45.0
True,122.91,99.13,0.207616,0.295042,70.4,45.88,175.42,152.39,0.8922,141,4.7047,122.0,45.0
True,125.76,99.88,0.212432,0.297258,73.15,45.75,178.37,154.01,0.8825,142,4.7381,125.0,45.0
True,122.99,100.33,0.207746,0.298594,67.62,45.75,178.36,154.9,0.8944,143,4.7714,122.0,45.0
True,124.52,100.21,0.210341,0.298234,71.64,44.71,177.4,155.7,0.8929,144,4.8048,124.0,44.0
True,123.23,101.2,0.208157,0.301179,69.48,46.26,176.97,156.13,0.908,145,4.8382,123.0,46.0
True,122.3,101.54,0.206595,0.302214,67.89,47.08,176.72,156.01,0.9099,146,4.8715,122.0,47.0
True,122.63,101.58,0.20715,0.302333,69.01,47.16,176.25,156.01,0.9098,147,4.9049,122.0,47.0
True,120.47,101.15,0.203495,0.301045,71.36,47.92,169.57,154.38,0.9026,148,4.9383,120.0,47.0
True,117.94,101.7,0.199218,0.302676,64.69,47.33,171.18,156.07,0.8959,149,4.9716,117.0,47.0
True,115.19,101.54,0.194582,0.302216,64.25,47.51,166.14,155.58,0.8914,150,5.005,115.0,47.0
True,114.39,102.3,0.193218,0.304455,63.57,48.8,165.2,155.79,0.9007,151,5.0384,114.0,48.0
