detected,cx_px,cy_px,cx_norm,cy_norm,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,frame,timestamp,tip_x,tip_y
True,337.55,143.82,0.566353,0.428026,309.38,111.96,365.71,175.68,0.5197,69,2.3023,337.0,111.0
True,335.16,143.51,0.562341,0.427117,307.77,111.63,362.54,175.4,0.7054,70,2.3357,335.0,111.0
True,334.64,145.04,0.561483,0.431665,307.74,114.57,361.55,175.51,0.7086,71,2.369,334.0,114.0
True,334.93,145.21,0.561964,0.432165,308.19,115.4,361.67,175.02,0.7131,72,2.4024,334.0,115.0
True,335.66,143.44,0.563182,0.426918,308.21,111.7,363.1,175.19,0.7209,73,2.4358,335.0,111.0
True,339.03,137.22,0.568835,0.408398,309.06,97.86,368.99,176.58,0.4641,74,2.4691,339.0,97.0
True,334.93,146.43,0.561966,0.435794,305.72,113.04,364.14,179.81,0.5194,75,2.5025,334.0,113.0
True,334.35,146.05,0.560985,0.434671,305.48,112.52,363.21,179.58,0.4986,76,2.5359,334.0,112.0
True,338.05,141.13,0.567192,0.420028,307.08,104.15,369.01,178.11,0.4743,77,2.5692,338.0,104.0
True,336.85,142.75,0.565181,0.424839,308.35,109.44,365.35,176.05,0.5616,78,2.6026,336.0,109.0
True,336.29,144.44,0.564237,0.429875,309.39,115.58,363.18,173.3,0.6724,79,2.636,336.0,115.0
True,339.77,110.6,0.570076,0.329174,307.45,51.22,372.08,169.99,0.6062,80,2.6693,339.0,51.0
True,337.93,109.56,0.567001,0.326067,305.85,47.47,370.01,171.65,0.6058,81,2.7027,337.0,47.0
True,335.88,144.99,0.56356,0.43151,309.29,117.27,362.48,172.71,0.6137,82,2.7361,335.0,117.0
True,339.58,143.45,0.569766,0.426937,308.7,113.03,370.47,173.87,0.4836,83,2.7694,339.0,113.0
True,336.82,146.23,0.565134,0.435216,305.88,111.43,367.76,181.03,0.4028,84,2.8028,336.0,111.0
True,337.45,146.18,0.566188,0.435059,305.79,110.95,369.1,181.41,0.352,85,2.8362,337.0,110.0
