detected,cx_px,cy_px,cx_norm,cy_norm,bbox_x1,bbox_y1,bbox_x2,bbox_y2,confidence,frame,timestamp
False,,,,,,,,,0.0,70,2.8
False,,,,,,,,,0.0,71,2.84
False,,,,,,,,,0.0,72,2.88
False,,,,,,,,,0.0,73,2.92
False,,,,,,,,,0.0,74,2.96
False,,,,,,,,,0.0,75,3.0
False,,,,,,,,,0.0,76,3.04
False,,,,,,,,,0.0,77,3.08
False,,,,,,,,,0.0,78,3.12
False,,,,,,,,,0.0,79,3.16
False,,,,,,,,,0.0,80,3.2
False,,,,,,,,,0.0,81,3.24
False,,,,,,,,,0.0,82,3.28
False,,,,,,,,,0.0,83,3.32
False,,,,,,,,,0.0,84,3.36
False,,,,,,,,,0.0,85,3.4
False,,,,,,,,,0.0,86,3.44
False,,,,,,,,,0.0,87,3.48
False,,,,,,,,,0.0,88,3.52
False,,,,,,,,,0.0,89,3.56
False,,,,,,,,,0.0,90,3.6
False,,,,,,,,,0.0,91,3.64
False,,,,,,,,,0.0,92,3.68
False,,,,,,,,,0.0,93,3.72
True,446.34,294.22,0.497042,0.581453,176.58,212.71,716.1,375.72,0.2733,94,3.76
True,448.67,294.07,0.499637,0.581162,179.33,210.39,718.02,377.75,0.3062,95,3.8
False,,,,,,,,,0.0,96,3.84
False,,,,,,,,,0.0,97,3.88
False,,,,,,,,,0.0,98,3.92
True,377.61,320.72,0.420501,0.633835,102.72,207.5,652.5,433.94,0.252,99,3.96
True,375.51,320.87,0.418158,0.634121,99.25,207.49,651.76,434.24,0.2519,100,4.0
False,,,,,,,,,0.0,101,4.04
False,,,,,,,,,0.0,102,4.08
True,332.56,137.7,0.370333,0.272129,289.82,96.68,375.3,178.71,0.443,103,4.12
True,339.21,151.54,0.377745,0.299478,304.7,117.27,373.73,185.8,0.6325,104,4.16
True,344.36,168.3,0.383471,0.332613,309.98,135.29,378.73,201.32,0.6699,105,4.2
False,,,,,,,,,0.0,106,4.24
True,380.35,223.38,0.42355,0.441459,358.46,200.74,402.23,246.02,0.2573,107,4.28
True,406.93,251.7,0.453148,0.497434,380.38,220.91,433.47,282.49,0.6464,108,4.32
True,431.35,263.81,0.480346,0.52137,402.21,233.26,460.49,294.36,0.6126,109,4.36
True,447.62,274.77,0.498466,0.543027,415.93,245.37,479.31,304.17,0.6614,110,4.4
True,456.81,274.58,0.508692,0.542655,422.56,244.35,491.05,304.82,0.7073,111,4.44
True,466.72,276.29,0.519728,0.546032,430.3,244.37,503.13,308.22,0.7307,112,4.48
True,468.42,289.39,0.521625,0.571915,430.75,253.81,506.09,324.97,0.7167,113,4.52
True,468.85,296.87,0.52211,0.586708,429.9,257.4,507.81,336.35,0.6524,114,4.56
True,470.62,296.76,0.52408,0.586475,431.2,253.48,510.05,340.03,0.5835,115,4.6
True,471.64,298.43,0.525209,0.589777,433.17,252.38,510.1,344.48,0.5039,116,4.64
True,472.79,303.12,0.526489,0.599051,434.94,259.09,510.63,347.15,0.5102,117,4.68
True,472.53,303.71,0.526207,0.600208,434.07,260.07,510.99,347.34,0.5431,118,4.72
True,472.63,302.42,0.526311,0.597669,434.01,257.95,511.25,346.89,0.5472,119,4.76
True,471.05,296.87,0.524556,0.586695,431.14,252.78,510.97,340.96,0.5596,120,4.8
True,476.12,297.35,0.530201,0.587644,435.35,254.91,516.89,339.79,0.606,121,4.84
True,481.84,295.9,0.536576,0.584787,439.14,253.94,524.55,337.86,0.6016,122,4.88
True,486.9,296.79,0.542204,0.586533,446.04,257.29,527.75,336.28,0.6111,123,4.92
True,486.46,296.59,0.54172,0.586151,444.98,257.05,527.95,336.13,0.6248,124,4.96
True,486.32,296.85,0.541562,0.586657,444.76,256.4,527.88,337.3,0.6058,125,5.0
True,485.85,303.81,0.541032,0.600418,445.55,262.09,526.14,345.54,0.6182,126,5.04
True,486.95,315.37,0.542256,0.623259,446.05,274.28,527.84,356.46,0.6485,127,5.08
True,486.42,315.39,0.541667,0.623307,445.7,274.75,527.13,356.04,0.642,128,5.12
True,485.89,315.82,0.541081,0.62415,445.64,275.39,526.14,356.25,0.635,129,5.16
True,485.76,316.66,0.540932,0.625812,445.67,276.78,525.84,356.54,0.6333,130,5.2
True,484.77,316.67,0.539829,0.625835,443.92,275.2,525.61,358.15,0.5692,131,5.24
True,482.1,317.73,0.536862,0.627919,441.15,275.86,523.06,359.6,0.4662,132,5.28
True,481.86,319.61,0.536595,0.631632,441.34,279.07,522.38,360.14,0.3642,133,5.32
True,480.63,320.7,0.53522,0.633804,441.22,281.5,520.04,359.91,0.3394,134,5.36
True,481.13,321.63,0.535779,0.635634,441.76,283.39,520.5,359.88,0.3434,135,5.4
True,480.35,327.9,0.534911,0.648018,440.19,294.31,520.51,361.48,0.3256,136,5.44
True,474.95,326.04,0.528892,0.644352,433.51,289.17,516.38,362.92,0.3042,137,5.48
False,,,,,,,,,0.0,138,5.52
False,,,,,,,,,0.0,139,5.56
False,,,,,,,,,0.0,140,5.6
True,480.5,336.03,0.535074,0.664092,437.64,301.66,523.35,370.4,0.3535,141,5.64
True,484.94,340.19,0.540017,0.672317,445.99,307.14,523.88,373.24,0.2996,142,5.68
True,485.56,339.41,0.540707,0.670776,446.5,306.47,524.61,372.36,0.5213,143,5.72
True,483.7,337.94,0.538642,0.66786,444.86,306.89,522.54,368.98,0.3745,144,5.76
True,485.65,343.52,0.540815,0.678892,449.14,310.13,522.16,376.91,0.2898,145,5.8
True,481.55,343.66,0.536246,0.679172,441.15,309.73,521.95,377.59,0.5184,146,5.84
True,481.42,346.31,0.5361,0.68441,442.03,312.93,520.8,379.69,0.5579,147,5.88
True,479.82,347.1,0.53432,0.685965,442.36,315.48,517.27,378.71,0.611,148,5.92
True,480.16,346.72,0.534698,0.685208,440.67,314.59,519.65,378.84,0.7059,149,5.96
True,480.11,346.68,0.534642,0.685147,440.33,314.41,519.89,378.96,0.7087,150,6.0
True,478.58,349.54,0.532944,0.690795,437.66,316.08,519.51,383.0,0.7359,151,6.04
True,478.35,350.13,0.532681,0.69196,437.27,316.16,519.42,384.1,0.7358,152,6.08
True,476.92,350.25,0.531091,0.692202,435.87,314.23,517.97,386.27,0.7985,153,6.12
True,475.27,350.75,0.529254,0.693185,435.49,314.58,515.05,386.92,0.8145,154,6.16
True,473.49,351.77,0.527272,0.695207,432.68,313.42,514.3,390.13,0.8135,155,6.2
True,472.02,353.43,0.525639,0.698485,430.47,312.36,513.58,394.51,0.7119,156,6.24
False,,,,,,,,,0.0,157,6.28
False,,,,,,,,,0.0,158,6.32
False,,,,,,,,,0.0,159,6.36
False,,,,,,,,,0.0,160,6.4
False,,,,,,,,,0.0,161,6.44
False,,,,,,,,,0.0,162,6.48
False,,,,,,,,,0.0,163,6.52
True,459.21,287.82,0.511373,0.568822,408.45,240.55,509.98,335.1,0.3882,164,6.56
False,,,,,,,,,0.0,165,6.6
False,,,,,,,,,0.0,166,6.64
False,,,,,,,,,0.0,167,6.68
True,440.37,295.73,0.490384,0.584456,217.66,227.38,663.07,364.09,0.3552,168,6.72
True,453.05,295.82,0.504505,0.584624,231.38,227.12,674.71,364.52,0.4604,169,6.76
True,467.88,291.25,0.521029,0.57559,249.61,225.54,686.16,356.96,0.4295,170,6.8
False,,,,,,,,,0.0,171,6.84
False,,,,,,,,,0.0,172,6.88
False,,,,,,,,,0.0,173,6.92
False,,,,,,,,,0.0,174,6.96
False,,,,,,,,,0.0,175,7.0
True,391.86,301.5,0.436372,0.595849,326.91,252.78,456.81,350.22,0.2532,176,7.04
True,361.63,233.27,0.40271,0.461,325.9,194.86,397.37,271.68,0.4967,177,7.08
True,396.75,218.32,0.441815,0.431455,365.53,182.61,427.97,254.03,0.3158,178,7.12
False,,,,,,,,,0.0,179,7.16
False,,,,,,,,,0.0,180,7.2
False,,,,,,,,,0.0,181,7.24
True,469.95,146.72,0.523327,0.289962,440.86,114.73,499.04,178.71,0.5809,182,7.28
True,461.68,121.31,0.514119,0.239752,437.2,93.32,486.15,149.31,0.2569,183,7.32
False,,,,,,,,,0.0,184,7.36
True,754.57,295.84,0.840278,0.584665,700.02,240.66,809.12,351.02,0.4164,185,7.4
False,,,,,,,,,0.0,186,7.44
False,,,,,,,,,0.0,187,7.48
False,,,,,,,,,0.0,188,7.52
False,,,,,,,,,0.0,189,7.56
False,,,,,,,,,0.0,190,7.6
False,,,,,,,,,0.0,191,7.64
False,,,,,,,,,0.0,192,7.68
False,,,,,,,,,0.0,193,7.72
False,,,,,,,,,0.0,194,7.76
False,,,,,,,,,0.0,195,7.8
True,604.19,270.79,0.672817,0.535154,565.75,232.09,642.63,309.48,0.6012,196,7.84
True,599.4,283.23,0.667482,0.559753,556.43,243.63,642.37,322.84,0.5939,197,7.88
True,596.0,292.48,0.663693,0.578023,549.04,251.76,642.95,333.19,0.6758,198,7.92
True,596.09,295.98,0.663794,0.584944,549.3,255.13,642.88,336.84,0.5897,199,7.96
True,596.12,296.03,0.663826,0.585044,549.26,255.09,642.97,336.97,0.59,200,8.0
True,593.95,298.92,0.661412,0.59076,547.06,258.85,640.83,339.0,0.5506,201,8.04
True,593.87,298.1,0.661331,0.589124,547.28,259.03,640.47,337.16,0.498,202,8.08
True,593.47,299.97,0.660883,0.592822,546.85,260.86,640.1,339.08,0.534,203,8.12
True,593.72,304.14,0.661159,0.601075,545.19,260.34,642.25,347.95,0.5024,204,8.16
True,594.12,304.64,0.661608,0.602056,544.13,256.89,644.12,352.4,0.5103,205,8.2
